engine_run_tine,engine_rpm,vehicle_speed,throttle,engine_load,coolant_temperature,long_term_fuel_trim_bank_1,short_term_fuel_trim_bank_1,intake_manifold_pressure,fuel_tank,absolute_throttle_b,pedal_d,pedal_e,commanded_throttle_actuator,fuel_air_commanded_equiv_ratio,absolute_barometric_pressure,relative_throttle_position,intake_air_temp,timing_advance,catalyst_temperature_bank1_sensor1,catalyst_temperature_bank1_sensor2,control_module_voltage,commanded_evaporative_purge,time_run_with_mil_on,time_since_trouble_codes_cleared,distance_traveled_with_mil_on,warm_ups_since_codes_cleared
0.0,0.0,0.0,17.647058,0.0,78.0,-2.34375,0.0,101.0,75.686272,49.803921,16.078432,31.764706,17.254902,0.0,100.0,0.0,43.0,5.0,483.200012,350.100006,12.539,0.0,0.0,1827.0,0.0,62.0
0.0,0.0,0.0,17.647058,0.0,78.0,-2.34375,0.0,101.0,75.686272,49.803921,16.078432,31.764706,17.254902,0.0,100.0,0.0,43.0,5.0,483.200012,350.100006,12.539,0.0,0.0,1827.0,0.0,62.0
0.0,0.0,0.0,17.254902,0.0,78.0,-2.34375,0.0,96.0,75.686272,49.803921,16.078432,31.764706,17.254902,0.0,100.0,0.0,43.0,5.0,483.200012,350.100006,12.539,0.0,0.0,1827.0,0.0,62.0
0.0,0.0,0.0,17.254902,0.0,78.0,-2.34375,0.0,96.0,75.686272,49.803921,16.078432,31.764706,17.254902,0.0,100.0,0.0,43.0,5.0,483.200012,350.100006,12.539,0.0,0.0,1827.0,0.0,62.0
0.0,0.0,0.0,17.254902,0.0,78.0,-2.34375,0.0,96.0,75.686272,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,43.0,5.0,483.200012,350.100006,11.464,0.0,0.0,1827.0,0.0,62.0
0.0,0.0,0.0,17.254902,0.0,78.0,-2.34375,0.0,96.0,75.686272,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,43.0,5.0,483.200012,350.100006,11.464,0.0,0.0,1827.0,0.0,62.0
0.0,1143.75,0.0,16.862745,21.568628,78.0,3.90625,0.0,21.0,75.686272,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,43.0,2.0,483.200012,350.100006,11.464,0.0,0.0,1827.0,0.0,62.0
1.0,1143.75,0.0,16.862745,21.568628,78.0,3.90625,0.0,21.0,75.686272,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,43.0,2.0,483.200012,350.100006,11.464,0.0,0.0,1827.0,0.0,62.0
1.0,1143.75,0.0,16.862745,21.568628,78.0,3.90625,0.0,21.0,75.686272,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,43.0,2.0,483.200012,350.100006,12.167,0.0,0.0,1827.0,0.0,62.0
1.0,1143.75,0.0,16.862745,22.745098,78.0,3.90625,0.0,21.0,75.686272,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,43.0,2.0,483.200012,350.100006,12.167,0.0,0.0,1827.0,0.0,62.0
3.0,982.75,0.0,16.862745,22.745098,78.0,3.90625,0.0,22.0,75.686272,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,45.0,7.0,483.200012,350.100006,12.167,0.0,0.0,1827.0,0.0,62.0
3.0,982.75,0.0,16.862745,22.745098,78.0,3.90625,0.0,22.0,77.254906,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,45.0,7.0,62.099998,61.099998,12.167,0.0,0.0,1827.0,0.0,62.0
3.0,982.75,0.0,16.862745,22.745098,78.0,3.90625,0.0,22.0,77.254906,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,45.0,7.0,62.099998,61.099998,12.695,0.0,0.0,1827.0,0.0,62.0
3.0,651.5,0.0,16.862745,26.666666,78.0,3.90625,0.0,27.0,77.254906,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,45.0,7.0,62.099998,61.099998,12.695,0.0,0.0,1827.0,0.0,62.0
5.0,651.5,0.0,16.862745,26.666666,78.0,3.90625,0.0,27.0,77.254906,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,45.0,7.0,62.099998,61.099998,12.695,0.0,0.0,1827.0,0.0,62.0
5.0,651.5,0.0,16.862745,26.666666,78.0,3.90625,0.0,27.0,76.862747,48.235294,16.078432,31.764706,16.862745,0.0,100.0,0.0,45.0,7.0,62.800003,61.099998,14.003,0.0,0.0,1827.0,0.0,62.0
5.0,651.5,0.0,16.862745,26.666666,78.0,3.90625,0.0,27.0,76.862747,48.235294,16.078432,31.764706,16.470589,0.0,100.0,0.0,45.0,7.0,62.800003,61.099998,14.003,0.0,0.0,1827.0,0.0,62.0
5.0,694.5,0.0,16.470589,26.274509,76.0,3.90625,0.0,25.0,76.862747,48.235294,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,7.0,62.800003,61.099998,14.003,0.0,0.0,1827.0,0.0,62.0
7.0,694.5,0.0,16.470589,26.274509,76.0,3.90625,0.0,25.0,77.254906,48.235294,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,7.0,62.800003,61.099998,14.003,0.0,0.0,1827.0,0.0,62.0
7.0,694.5,0.0,16.470589,26.274509,76.0,3.90625,0.0,25.0,77.254906,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,7.0,64.800003,61.099998,13.828,0.0,0.0,1827.0,0.0,62.0
7.0,694.5,0.0,16.470589,27.843138,76.0,3.90625,0.0,25.0,77.254906,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,7.0,64.800003,61.099998,13.828,0.0,0.0,1827.0,0.0,62.0
8.0,661.5,0.0,16.470589,27.843138,76.0,3.90625,0.0,27.0,77.254906,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,1.0,64.800003,61.099998,13.828,0.0,0.0,1827.0,0.0,62.0
8.0,661.5,0.0,16.470589,27.843138,76.0,3.90625,0.0,27.0,77.254906,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,1.0,67.199997,61.099998,13.828,0.0,0.0,1827.0,0.0,62.0
8.0,661.5,0.0,16.470589,27.843138,76.0,3.90625,0.0,27.0,77.254906,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,1.0,67.199997,61.099998,13.906,0.0,0.0,1827.0,0.0,62.0
8.0,653.75,0.0,16.470589,27.058823,76.0,3.90625,0.0,26.0,77.254906,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,1.0,67.199997,61.099998,13.906,0.0,0.0,1827.0,0.0,62.0
10.0,653.75,0.0,16.470589,27.058823,76.0,3.90625,0.0,26.0,77.254906,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,0.0,67.199997,61.099998,13.906,0.0,0.0,1827.0,0.0,62.0
10.0,653.75,0.0,16.470589,27.058823,76.0,3.90625,0.0,26.0,76.862747,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,0.0,69.800003,61.099998,13.906,0.0,0.0,1827.0,0.0,62.0
10.0,653.75,0.0,16.470589,27.058823,76.0,3.90625,0.0,26.0,76.862747,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,0.0,69.800003,61.099998,13.906,0.0,0.0,1827.0,0.0,62.0
10.0,651.5,0.0,16.470589,27.058823,77.0,3.90625,0.0,28.0,76.862747,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,-1.0,69.800003,61.099998,13.906,0.0,0.0,1827.0,0.0,62.0
12.0,651.5,0.0,16.470589,27.058823,77.0,3.90625,0.0,28.0,76.862747,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,-1.0,69.800003,61.099998,13.906,0.0,0.0,1827.0,0.0,62.0
12.0,651.5,0.0,16.470589,27.058823,77.0,3.90625,0.0,28.0,76.862747,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,-1.0,71.099998,61.099998,13.886,0.0,0.0,1827.0,0.0,62.0
12.0,651.5,0.0,16.470589,27.058823,77.0,3.90625,0.0,28.0,76.862747,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,46.0,-1.0,71.099998,61.099998,13.886,0.0,0.0,1827.0,0.0,62.0
14.0,656.25,0.0,16.470589,27.058823,78.0,1.5625,0.0,26.0,76.862747,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,47.0,-2.0,71.099998,61.099998,13.886,0.0,0.0,1827.0,0.0,62.0
14.0,656.25,0.0,16.470589,27.058823,78.0,1.5625,0.0,26.0,76.862747,47.843136,16.078432,31.764706,16.470589,0.0,100.0,0.0,47.0,-2.0,71.099998,61.099998,13.886,0.0,0.0,1827.0,0.0,62.0
