engine_run_tine,engine_rpm,vehicle_speed,throttle,engine_load,coolant_temperature,long_term_fuel_trim_bank_1,short_term_fuel_trim_bank_1,intake_manifold_pressure,fuel_tank,absolute_throttle_b,pedal_d,pedal_e,commanded_throttle_actuator,fuel_air_commanded_equiv_ratio,absolute_barometric_pressure,relative_throttle_position,intake_air_temp,timing_advance,catalyst_temperature_bank1_sensor1,catalyst_temperature_bank1_sensor2,control_module_voltage,commanded_evaporative_purge,time_run_with_mil_on,time_since_trouble_codes_cleared,distance_traveled_with_mil_on,warm_ups_since_codes_cleared
0.0,0.0,0.0,17.647058,0.0,26.0,0.0,0.0,101.0,74.117645,49.803921,16.078432,31.764706,13.333333,0.0,102.0,0.0,26.0,5.0,460.100006,340.399994,12.226,0.0,0.0,12225.0,0.0,255.0
0.0,0.0,0.0,17.647058,0.0,26.0,0.0,0.0,101.0,74.117645,49.803921,16.078432,31.764706,13.333333,0.0,102.0,0.0,26.0,5.0,460.100006,340.399994,12.226,0.0,0.0,12225.0,0.0,255.0
0.0,0.0,0.0,17.647058,0.0,26.0,0.0,0.0,101.0,74.117645,49.803921,16.078432,31.764706,13.333333,0.0,102.0,0.0,26.0,5.0,460.100006,340.399994,12.226,0.0,0.0,12225.0,0.0,255.0
0.0,214.0,0.0,17.647058,0.0,26.0,0.0,0.0,68.0,74.117645,49.803921,16.078432,31.764706,13.333333,0.0,102.0,0.0,26.0,5.0,460.100006,340.399994,12.226,0.0,0.0,12225.0,0.0,255.0
0.0,214.0,0.0,13.333333,0.0,26.0,0.0,0.0,68.0,74.117645,49.803921,16.078432,31.764706,13.333333,0.0,102.0,0.0,26.0,5.0,460.100006,340.399994,12.226,0.0,0.0,12225.0,0.0,255.0
0.0,214.0,0.0,13.333333,0.0,26.0,0.0,0.0,68.0,74.117645,52.156864,16.078432,31.764706,13.333333,0.0,100.0,0.784314,26.0,5.0,460.100006,340.399994,11.816,0.0,0.0,12225.0,0.0,255.0
0.0,214.0,0.0,13.333333,0.0,26.0,0.0,0.0,68.0,74.117645,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,26.0,5.0,460.100006,340.399994,11.816,0.0,0.0,12225.0,0.0,255.0
0.0,1873.25,0.0,19.607843,23.137255,26.0,3.125,0.0,23.0,74.117645,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,25.0,25.0,460.100006,340.399994,11.816,0.0,0.0,12225.0,0.0,255.0
1.0,1873.25,0.0,19.607843,23.137255,26.0,3.125,0.0,23.0,74.117645,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,25.0,25.0,460.100006,340.399994,11.816,0.0,0.0,12225.0,0.0,255.0
1.0,1873.25,0.0,19.607843,23.137255,26.0,3.125,0.0,23.0,74.117645,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,25.0,25.0,27.199997,26.199997,11.894,0.0,0.0,12225.0,0.0,255.0
