engine_run_tine,engine_rpm,vehicle_speed,throttle,engine_load,coolant_temperature,long_term_fuel_trim_bank_1,short_term_fuel_trim_bank_1,intake_manifold_pressure,fuel_tank,absolute_throttle_b,pedal_d,pedal_e,commanded_throttle_actuator,fuel_air_commanded_equiv_ratio,absolute_barometric_pressure,relative_throttle_position,intake_air_temp,timing_advance,catalyst_temperature_bank1_sensor1,catalyst_temperature_bank1_sensor2,control_module_voltage,commanded_evaporative_purge,time_run_with_mil_on,time_since_trouble_codes_cleared,distance_traveled_with_mil_on,warm_ups_since_codes_cleared
0.0,0.0,0.0,17.647058,0.0,41.0,-1.5625,0.0,101.0,36.07843,49.803921,16.078432,31.764706,18.82353,0.0,102.0,0.0,32.0,5.0,103.800003,80.599998,12.519,0.0,0.0,7464.0,0.0,255.0
0.0,0.0,0.0,17.647058,0.0,41.0,-1.5625,0.0,101.0,36.07843,49.803921,16.078432,31.764706,18.82353,0.0,102.0,0.0,32.0,5.0,103.800003,80.599998,12.519,0.0,0.0,7464.0,0.0,255.0
0.0,0.0,0.0,17.647058,0.0,41.0,-1.5625,0.0,101.0,36.07843,49.803921,16.078432,31.764706,18.82353,0.0,102.0,0.0,32.0,5.0,103.800003,80.599998,12.519,0.0,0.0,7464.0,0.0,255.0
0.0,0.0,0.0,17.647058,0.0,41.0,-1.5625,0.0,101.0,36.07843,49.803921,16.078432,31.764706,18.82353,0.0,102.0,0.0,32.0,5.0,103.800003,80.599998,12.519,0.0,0.0,7464.0,0.0,255.0
0.0,0.0,0.0,17.647058,0.0,41.0,-1.5625,0.0,101.0,36.07843,49.803921,16.078432,31.764706,18.82353,0.0,102.0,0.0,32.0,5.0,103.800003,80.599998,12.519,0.0,0.0,7464.0,0.0,255.0
0.0,0.0,0.0,17.647058,0.0,41.0,-1.5625,0.0,101.0,36.07843,49.803921,16.078432,31.764706,18.82353,0.0,102.0,0.0,32.0,5.0,103.800003,80.599998,12.519,0.0,0.0,7464.0,0.0,255.0
0.0,0.0,0.0,17.647058,0.0,41.0,-1.5625,0.0,101.0,36.07843,49.803921,16.078432,31.764706,18.82353,0.0,100.0,0.0,32.0,5.0,103.800003,80.599998,12.519,0.0,0.0,7464.0,0.0,255.0
0.0,0.0,0.0,17.647058,0.0,41.0,-1.5625,0.0,101.0,36.07843,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,32.0,5.0,103.800003,80.599998,10.507,0.0,0.0,7464.0,0.0,255.0
0.0,1656.25,0.0,17.647058,24.313726,41.0,3.90625,0.0,22.0,36.07843,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,32.0,18.0,103.800003,80.599998,10.507,0.0,0.0,7464.0,0.0,255.0
1.0,1656.25,0.0,18.82353,24.313726,41.0,3.90625,0.0,22.0,36.07843,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,32.0,18.0,103.800003,80.599998,10.507,0.0,0.0,7464.0,0.0,255.0
1.0,1656.25,0.0,18.82353,24.313726,41.0,3.90625,0.0,22.0,36.07843,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,32.0,18.0,103.800003,80.599998,12.128,0.0,0.0,7464.0,0.0,255.0
1.0,1656.25,0.0,18.82353,24.313726,41.0,3.90625,0.0,22.0,36.07843,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,32.0,18.0,103.800003,80.599998,12.128,0.0,0.0,7464.0,0.0,255.0
1.0,1428.75,0.0,18.82353,23.921568,41.0,3.90625,0.0,24.0,36.07843,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,33.0,20.0,103.800003,80.599998,12.128,0.0,0.0,7464.0,0.0,255.0
2.0,1428.75,0.0,18.82353,23.921568,41.0,3.90625,0.0,24.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,33.0,20.0,103.800003,80.599998,12.128,0.0,0.0,7464.0,0.0,255.0
2.0,1428.75,0.0,18.82353,23.921568,41.0,3.90625,0.0,24.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,33.0,20.0,39.099998,37.099998,12.812,0.0,0.0,7464.0,0.0,255.0
2.0,1428.75,0.0,18.82353,25.882353,41.0,3.90625,0.0,24.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,33.0,20.0,39.099998,37.099998,12.812,0.0,0.0,7464.0,0.0,255.0
4.0,1271.75,0.0,18.82353,25.882353,41.0,3.90625,0.0,26.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,33.0,19.0,39.099998,37.099998,12.812,0.0,0.0,7464.0,0.0,255.0
4.0,1271.75,0.0,18.82353,25.882353,41.0,3.90625,0.0,26.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,33.0,19.0,40.800003,37.099998,12.812,0.0,0.0,7464.0,0.0,255.0
4.0,1271.75,0.0,18.82353,25.882353,41.0,3.90625,0.0,26.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,33.0,19.0,40.800003,37.099998,14.218,0.0,0.0,7464.0,0.0,255.0
4.0,1232.75,0.0,18.82353,25.882353,41.0,3.90625,0.0,25.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,33.0,19.0,40.800003,37.099998,14.218,0.0,0.0,7464.0,0.0,255.0
6.0,1232.75,0.0,18.82353,25.882353,41.0,3.90625,0.0,25.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,34.0,13.0,40.800003,37.099998,14.218,0.0,0.0,7464.0,0.0,255.0
6.0,1232.75,0.0,18.82353,25.882353,41.0,3.90625,0.0,25.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,34.0,13.0,45.300003,37.099998,14.238,0.0,0.0,7464.0,0.0,255.0
6.0,1232.75,0.0,18.82353,25.882353,41.0,3.90625,0.0,25.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,34.0,13.0,45.300003,37.099998,14.238,0.0,0.0,7464.0,0.0,255.0
6.0,1203.0,0.0,18.82353,26.666666,41.0,3.90625,0.0,28.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,34.0,7.0,45.300003,37.099998,14.238,0.0,0.0,7464.0,0.0,255.0
8.0,1203.0,0.0,18.82353,26.666666,41.0,3.90625,0.0,28.0,37.254902,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,34.0,7.0,45.300003,37.099998,14.238,0.0,0.0,7464.0,0.0,255.0
8.0,1203.0,0.0,18.82353,26.666666,41.0,3.90625,0.0,28.0,37.254902,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,34.0,7.0,50.900002,37.099998,14.218,0.0,0.0,7464.0,0.0,255.0
8.0,1203.0,0.0,18.82353,26.666666,41.0,3.90625,0.0,28.0,37.254902,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,34.0,7.0,50.900002,37.099998,14.218,0.0,0.0,7464.0,0.0,255.0
10.0,996.75,0.0,19.215687,30.980392,41.0,3.90625,0.0,37.0,37.254902,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,34.0,8.0,50.900002,37.099998,14.218,0.0,0.0,7464.0,0.0,255.0
10.0,996.75,0.0,19.215687,30.980392,41.0,3.90625,0.0,37.0,37.254902,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,34.0,8.0,57.5,37.099998,14.218,0.0,0.0,7464.0,0.0,255.0
10.0,996.75,0.0,19.215687,30.980392,41.0,3.90625,0.0,37.0,37.254902,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,34.0,8.0,57.5,37.099998,14.199,0.0,0.0,7464.0,0.0,255.0
10.0,997.5,0.0,19.215687,37.254902,42.0,3.90625,0.0,37.0,37.254902,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,34.0,8.0,57.5,37.099998,14.199,0.0,0.0,7464.0,0.0,255.0
11.0,997.5,0.0,19.607843,37.254902,42.0,3.90625,0.0,37.0,37.254902,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,34.0,-1.0,57.5,37.099998,14.199,0.0,0.0,7464.0,0.0,255.0
11.0,997.5,0.0,19.607843,37.254902,42.0,3.90625,0.0,37.0,37.254902,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,34.0,-1.0,61.199997,37.199997,14.179,0.0,0.0,7464.0,0.0,255.0
11.0,997.5,0.0,19.607843,37.254902,42.0,3.90625,0.0,37.0,37.254902,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,34.0,-1.0,61.199997,37.199997,14.179,0.0,0.0,7464.0,0.0,255.0
11.0,998.25,5.0,19.215687,35.294117,42.0,3.90625,0.0,35.0,37.254902,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,34.0,-1.0,61.199997,37.199997,14.179,0.0,0.0,7464.0,0.0,255.0
13.0,998.25,5.0,19.215687,35.294117,42.0,3.90625,0.0,35.0,36.07843,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,34.0,-1.0,61.199997,37.199997,14.179,0.0,0.0,7464.0,0.0,255.0
13.0,998.25,5.0,19.215687,35.294117,42.0,3.90625,0.0,35.0,36.07843,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,34.0,-1.0,69.400002,37.300003,14.199,0.0,0.0,7464.0,0.0,255.0
13.0,998.25,5.0,19.215687,35.294117,42.0,3.90625,0.0,35.0,36.07843,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,34.0,-1.0,69.400002,37.300003,14.199,0.0,0.0,7464.0,0.0,255.0
15.0,979.5,5.0,19.215687,36.862743,43.0,3.90625,0.0,37.0,36.07843,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,-3.0,69.400002,37.300003,14.199,0.0,0.0,7464.0,0.0,255.0
15.0,979.5,5.0,19.215687,36.862743,43.0,3.90625,0.0,37.0,32.156864,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,-3.0,78.0,37.300003,14.199,0.0,0.0,7464.0,0.0,255.0
15.0,979.5,5.0,19.215687,36.862743,43.0,3.90625,0.0,37.0,32.156864,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,-3.0,78.0,37.300003,14.199,0.0,0.0,7464.0,0.0,255.0
15.0,979.5,5.0,19.215687,34.901962,43.0,3.90625,0.0,34.0,32.156864,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,-3.0,78.0,37.300003,14.199,0.0,0.0,7464.0,0.0,255.0
17.0,1012.5,7.0,19.215687,34.901962,43.0,3.90625,0.0,34.0,32.156864,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,-7.0,78.0,37.300003,14.199,0.0,0.0,7464.0,0.0,255.0
17.0,1012.5,7.0,19.215687,34.901962,43.0,3.90625,0.0,34.0,29.019608,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,-7.0,86.800003,37.5,14.199,0.0,0.0,7464.0,0.0,255.0
17.0,1012.5,7.0,19.215687,34.901962,43.0,3.90625,0.0,34.0,29.019608,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,-7.0,86.800003,37.5,14.199,0.0,0.0,7464.0,0.0,255.0
17.0,967.75,6.0,19.215687,36.07843,44.0,3.90625,0.0,36.0,29.019608,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,4.0,86.800003,37.5,14.199,0.0,0.0,7464.0,0.0,255.0
19.0,967.75,6.0,19.215687,36.07843,44.0,3.90625,0.0,36.0,38.039215,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,4.0,86.800003,37.5,14.199,0.0,0.0,7464.0,0.0,255.0
19.0,967.75,6.0,19.215687,36.07843,44.0,3.90625,0.0,36.0,38.039215,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,4.0,91.199997,37.599998,14.023,0.0,0.0,7464.0,0.0,255.0
19.0,967.75,6.0,19.215687,36.07843,44.0,3.90625,0.0,36.0,38.039215,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,4.0,91.199997,37.599998,14.023,0.0,0.0,7464.0,0.0,255.0
21.0,1064.0,8.0,19.215687,33.333332,44.0,3.90625,0.0,33.0,38.039215,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,-6.0,91.199997,37.599998,14.023,0.0,0.0,7464.0,0.0,255.0
21.0,1064.0,8.0,19.215687,33.333332,44.0,3.90625,0.0,33.0,41.960785,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,35.0,-6.0,91.199997,37.599998,14.023,0.0,0.0,7464.0,0.0,255.0
