engine_run_tine,engine_rpm,vehicle_speed,throttle,engine_load,coolant_temperature,long_term_fuel_trim_bank_1,short_term_fuel_trim_bank_1,intake_manifold_pressure,fuel_tank,absolute_throttle_b,pedal_d,pedal_e,commanded_throttle_actuator,fuel_air_commanded_equiv_ratio,absolute_barometric_pressure,relative_throttle_position,intake_air_temp,timing_advance,catalyst_temperature_bank1_sensor1,catalyst_temperature_bank1_sensor2,control_module_voltage,commanded_evaporative_purge,time_run_with_mil_on,time_since_trouble_codes_cleared,distance_traveled_with_mil_on,warm_ups_since_codes_cleared
0.0,0.0,0.0,16.862745,0.0,88.0,-4.6875,0.0,101.0,28.627451,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,51.0,5.0,439.100006,298.100006,12.539,0.0,0.0,7937.0,0.0,255.0
0.0,0.0,0.0,16.862745,0.0,88.0,-4.6875,0.0,101.0,28.627451,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,51.0,5.0,439.100006,298.100006,12.539,0.0,0.0,7937.0,0.0,255.0
0.0,0.0,0.0,16.862745,0.0,88.0,-4.6875,0.0,101.0,28.627451,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,51.0,5.0,439.100006,298.100006,12.539,0.0,0.0,7937.0,0.0,255.0
0.0,0.0,0.0,16.862745,0.0,88.0,-4.6875,0.0,101.0,28.627451,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,51.0,5.0,439.100006,298.100006,12.539,0.0,0.0,7937.0,0.0,255.0
0.0,0.0,0.0,16.862745,0.0,88.0,-4.6875,0.0,101.0,28.627451,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,51.0,5.0,439.100006,298.100006,10.371,0.0,0.0,7937.0,0.0,255.0
0.0,0.0,0.0,16.862745,20.392157,88.0,-1.5625,0.0,101.0,28.627451,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,51.0,5.0,439.100006,298.100006,10.371,0.0,0.0,7937.0,0.0,255.0
0.0,1527.25,0.0,16.862745,20.392157,88.0,-1.5625,0.0,18.0,28.627451,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,50.0,8.0,439.100006,298.100006,10.371,0.0,0.0,7937.0,0.0,255.0
0.0,1527.25,0.0,16.862745,20.392157,88.0,-1.5625,0.0,18.0,28.627451,48.627453,16.078432,31.764706,16.862745,0.0,100.0,0.0,50.0,8.0,439.100006,298.100006,11.933,0.0,0.0,7937.0,0.0,255.0
0.0,1527.25,0.0,16.862745,20.392157,88.0,-1.5625,0.0,18.0,28.627451,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,50.0,8.0,439.100006,298.100006,11.933,0.0,0.0,7937.0,0.0,255.0
0.0,1082.75,0.0,18.82353,30.588236,89.0,0.0,-3.90625,31.0,28.627451,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,51.0,4.0,439.100006,298.100006,11.933,0.0,0.0,7937.0,0.0,255.0
2.0,1082.75,0.0,18.82353,30.588236,89.0,0.0,-3.90625,31.0,28.627451,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,51.0,4.0,439.100006,298.100006,11.933,0.0,0.0,7937.0,0.0,255.0
2.0,1082.75,0.0,18.82353,30.588236,89.0,0.0,-3.90625,31.0,28.627451,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,51.0,4.0,70.5,70.0,12.187,0.0,0.0,7937.0,0.0,255.0
2.0,1082.75,0.0,18.82353,30.588236,89.0,0.0,-3.90625,31.0,28.627451,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,51.0,4.0,70.5,70.0,12.187,0.0,0.0,7937.0,0.0,255.0
2.0,925.75,0.0,18.82353,32.941177,89.0,-0.78125,-7.03125,33.0,28.627451,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,51.0,7.0,70.5,70.0,12.187,0.0,0.0,7937.0,0.0,255.0
4.0,925.75,0.0,18.82353,32.941177,89.0,-0.78125,-7.03125,33.0,28.627451,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,51.0,7.0,70.5,70.0,12.187,0.0,0.0,7937.0,0.0,255.0
4.0,925.75,0.0,18.82353,32.941177,89.0,-0.78125,-7.03125,33.0,28.627451,50.588234,16.078432,31.764706,18.431372,0.0,100.0,0.0,51.0,7.0,73.699997,71.199997,13.671,0.0,0.0,7937.0,0.0,255.0
4.0,925.75,0.0,18.82353,35.686275,88.0,-1.5625,-3.90625,33.0,28.627451,50.588234,16.078432,31.764706,18.431372,0.0,100.0,0.0,51.0,7.0,73.699997,71.199997,13.671,0.0,0.0,7937.0,0.0,255.0
6.0,862.5,0.0,18.431372,35.686275,88.0,-1.5625,-3.90625,35.0,28.627451,50.588234,16.078432,31.764706,18.431372,0.0,100.0,0.0,51.0,5.0,73.699997,71.199997,13.671,0.0,0.0,7937.0,0.0,255.0
6.0,862.5,0.0,18.431372,35.686275,88.0,-1.5625,-3.90625,35.0,28.627451,50.588234,16.078432,31.764706,18.431372,0.0,100.0,0.0,51.0,5.0,78.199997,73.099998,13.671,0.0,0.0,7937.0,0.0,255.0
6.0,862.5,0.0,18.431372,35.686275,88.0,-1.5625,-3.90625,35.0,28.627451,50.196079,16.078432,31.764706,18.431372,0.0,100.0,0.0,51.0,5.0,78.199997,73.099998,13.671,0.0,0.0,7937.0,0.0,255.0
6.0,828.75,0.0,18.431372,36.470589,88.0,-1.5625,0.0,36.0,28.627451,50.196079,16.078432,31.764706,18.431372,0.0,100.0,0.0,52.0,4.0,78.199997,73.099998,13.671,0.0,0.0,7937.0,0.0,255.0
8.0,828.75,0.0,18.431372,36.470589,88.0,-1.5625,0.0,36.0,28.627451,50.196079,16.078432,31.764706,18.431372,0.0,100.0,0.0,52.0,4.0,78.199997,73.099998,13.671,0.0,0.0,7937.0,0.0,255.0
8.0,828.75,0.0,18.431372,36.470589,88.0,-1.5625,0.0,36.0,28.627451,50.588234,16.078432,31.764706,18.431372,0.0,100.0,0.0,52.0,4.0,83.400002,75.300003,13.613,0.0,0.0,7937.0,0.0,255.0
8.0,828.75,0.0,18.431372,36.470589,88.0,-1.5625,0.0,36.0,28.627451,50.588234,16.078432,31.764706,18.431372,0.0,100.0,0.0,52.0,4.0,83.400002,75.300003,13.613,0.0,0.0,7937.0,0.0,255.0
8.0,812.5,0.0,18.431372,37.64706,88.0,-1.5625,-3.90625,38.0,28.627451,50.588234,16.078432,31.764706,18.431372,0.0,100.0,0.0,52.0,2.0,83.400002,75.300003,13.613,0.0,0.0,7937.0,0.0,255.0
10.0,812.5,0.0,18.431372,37.64706,88.0,-1.5625,-3.90625,38.0,28.627451,50.588234,16.078432,31.764706,18.431372,0.0,100.0,0.0,52.0,2.0,83.400002,75.300003,13.613,0.0,0.0,7937.0,0.0,255.0
10.0,812.5,0.0,18.431372,37.64706,88.0,-1.5625,-3.90625,38.0,28.627451,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,2.0,86.199997,76.599998,13.632,0.0,0.0,7937.0,0.0,255.0
10.0,812.5,0.0,18.431372,39.607841,89.0,-2.34375,-1.5625,38.0,28.627451,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,2.0,86.199997,76.599998,13.632,0.0,0.0,7937.0,0.0,255.0
11.0,798.25,0.0,18.82353,39.607841,89.0,-2.34375,-1.5625,39.0,28.627451,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,2.0,86.199997,76.599998,13.632,0.0,0.0,7937.0,0.0,255.0
11.0,798.25,0.0,18.82353,39.607841,89.0,-2.34375,-1.5625,39.0,28.627451,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,2.0,92.399994,79.400002,13.632,0.0,0.0,7937.0,0.0,255.0
11.0,798.25,0.0,18.82353,39.607841,89.0,-2.34375,-1.5625,39.0,28.627451,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,2.0,92.399994,79.400002,13.378,0.0,0.0,7937.0,0.0,255.0
11.0,614.0,0.0,18.82353,52.156864,89.0,-2.34375,2.34375,55.0,28.627451,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,7.0,92.399994,79.400002,13.378,0.0,0.0,7937.0,0.0,255.0
13.0,614.0,0.0,18.82353,52.156864,89.0,-2.34375,2.34375,55.0,28.627451,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,7.0,92.399994,79.400002,13.378,0.0,0.0,7937.0,0.0,255.0
13.0,614.0,0.0,18.82353,52.156864,89.0,-2.34375,2.34375,55.0,28.627451,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,7.0,99.300003,82.599998,13.535,0.0,0.0,7937.0,0.0,255.0
13.0,614.0,0.0,18.82353,52.156864,89.0,-2.34375,2.34375,55.0,28.627451,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,7.0,99.300003,82.599998,13.535,0.0,0.0,7937.0,0.0,255.0
13.0,751.5,5.0,18.82353,47.450981,89.0,-3.125,-2.34375,48.0,28.627451,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,-8.0,99.300003,82.599998,13.535,0.0,0.0,7937.0,0.0,255.0
15.0,751.5,5.0,18.82353,47.450981,89.0,-3.125,-2.34375,48.0,25.882353,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,-8.0,99.300003,82.599998,13.535,0.0,0.0,7937.0,0.0,255.0
15.0,751.5,5.0,18.82353,47.450981,89.0,-3.125,-2.34375,48.0,25.882353,53.725491,21.17647,36.862743,20.784313,0.0,100.0,1.960784,52.0,-8.0,106.899994,86.300003,13.613,0.0,0.0,7937.0,0.0,255.0
15.0,751.5,5.0,18.82353,52.941177,90.0,-3.125,-1.5625,48.0,25.882353,53.725491,21.17647,36.862743,20.784313,0.0,100.0,1.960784,52.0,-8.0,106.899994,86.300003,13.613,0.0,0.0,7937.0,0.0,255.0
17.0,1084.25,5.0,20.392157,52.941177,90.0,-3.125,-1.5625,50.0,25.882353,53.725491,21.17647,36.862743,20.784313,0.0,100.0,1.960784,52.0,16.0,106.899994,86.300003,13.613,0.0,0.0,7937.0,0.0,255.0
17.0,1084.25,5.0,20.392157,52.941177,90.0,-3.125,-1.5625,50.0,24.313726,53.725491,21.17647,36.862743,20.784313,0.0,100.0,1.960784,52.0,16.0,111.399994,88.5,13.613,0.0,0.0,7937.0,0.0,255.0
17.0,1084.25,5.0,20.392157,52.941177,90.0,-3.125,-1.5625,50.0,24.313726,51.372547,16.470589,31.764706,18.82353,0.0,100.0,0.0,52.0,16.0,111.399994,88.5,13.652,0.0,0.0,7937.0,0.0,255.0
17.0,1070.25,9.0,20.392157,32.156864,90.0,-0.78125,-2.34375,32.0,24.313726,51.372547,16.470589,31.764706,18.82353,0.0,100.0,0.0,52.0,12.0,111.399994,88.5,13.652,0.0,0.0,7937.0,0.0,255.0
19.0,1070.25,9.0,18.82353,32.156864,90.0,-0.78125,-2.34375,32.0,24.313726,51.372547,16.470589,31.764706,18.82353,0.0,100.0,0.0,52.0,12.0,111.399994,88.5,13.652,0.0,0.0,7937.0,0.0,255.0
19.0,1070.25,9.0,18.82353,32.156864,90.0,-0.78125,-2.34375,32.0,20.392157,51.372547,16.470589,31.764706,18.82353,0.0,100.0,0.0,52.0,12.0,120.300003,93.0,13.046,0.0,0.0,7937.0,0.0,255.0
19.0,1070.25,9.0,18.82353,32.156864,90.0,-0.78125,-2.34375,32.0,20.392157,51.372547,16.078432,31.764706,20.392157,0.0,100.0,0.0,52.0,12.0,120.300003,93.0,13.046,0.0,0.0,7937.0,0.0,255.0
19.0,718.75,9.0,18.82353,53.725491,90.0,-2.34375,1.5625,52.0,20.392157,51.372547,16.078432,31.764706,20.392157,0.0,100.0,0.0,52.0,7.0,120.300003,93.0,13.046,0.0,0.0,7937.0,0.0,255.0
20.0,718.75,9.0,18.82353,53.725491,90.0,-2.34375,1.5625,52.0,27.843138,51.372547,16.078432,31.764706,20.392157,0.0,100.0,0.0,52.0,7.0,120.300003,93.0,13.046,0.0,0.0,7937.0,0.0,255.0
20.0,718.75,9.0,18.82353,53.725491,90.0,-2.34375,1.5625,52.0,27.843138,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,7.0,129.300003,97.699997,13.593,0.0,0.0,7937.0,0.0,255.0
20.0,718.75,9.0,18.82353,39.607841,90.0,-2.34375,1.5625,52.0,27.843138,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,7.0,129.300003,97.699997,13.593,0.0,0.0,7937.0,0.0,255.0
22.0,897.5,10.0,18.82353,39.607841,90.0,-2.34375,0.0,40.0,27.843138,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,-3.0,129.300003,97.699997,13.593,0.0,0.0,7937.0,0.0,255.0
22.0,897.5,10.0,18.82353,39.607841,90.0,-2.34375,0.0,40.0,30.980392,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,-3.0,138.100006,102.5,13.593,0.0,0.0,7937.0,0.0,255.0
22.0,897.5,10.0,18.82353,39.607841,90.0,-2.34375,0.0,40.0,30.980392,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,-3.0,138.100006,102.5,13.593,0.0,0.0,7937.0,0.0,255.0
22.0,715.5,10.0,18.82353,38.823528,90.0,-3.125,-0.78125,42.0,30.980392,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,7.0,138.100006,102.5,13.593,0.0,0.0,7937.0,0.0,255.0
24.0,715.5,10.0,18.82353,38.823528,90.0,-3.125,-0.78125,42.0,30.980392,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,52.0,7.0,138.100006,102.5,13.593,0.0,0.0,7937.0,0.0,255.0
24.0,715.5,10.0,18.82353,38.823528,90.0,-3.125,-0.78125,42.0,35.294117,52.549019,16.078432,31.764706,18.82353,0.0,100.0,0.784314,52.0,7.0,142.199997,104.800003,13.535,0.0,0.0,7937.0,0.0,255.0
24.0,715.5,10.0,18.82353,38.823528,90.0,-3.125,-0.78125,42.0,35.294117,52.549019,20.0,36.07843,20.0,0.0,100.0,0.784314,52.0,7.0,142.199997,104.800003,13.535,0.0,0.0,7937.0,0.0,255.0
24.0,800.0,10.0,23.921568,66.274513,89.0,-3.90625,-1.5625,74.0,35.294117,52.549019,20.0,36.07843,20.0,0.0,100.0,0.784314,52.0,-1.0,142.199997,104.800003,13.535,0.0,0.0,7937.0,0.0,255.0
